rseed,MAE,ln_MAE,log10_MAE
519,0.0737791629713943,-1.1320662761757194,-1.1320662761757199
520,0.0803252381824243,-1.0951479779935722,-1.0951479779935722
521,0.0823908513382761,-1.0841210095879288,-1.084121009587929
522,0.1493074950146098,-0.8259183907894669,-0.825918390789467
523,0.0547574677054753,-1.2615566443029824,-1.2615566443029824
524,0.0107134163283145,-1.970072017875152,-1.9700720178751556
525,0.01773092588862,-1.7512685854470502,-1.7512685854470504
526,0.0882161074758336,-1.0544521093218615,-1.054452109321862
527,0.018058150357217,-1.7433267352402322,-1.7433267352402335
528,0.1040390193116649,-0.9828037501856968,-0.9828037501856971
529,0.0874751897314491,-1.058115106870411,-1.0581151068704113
530,0.0467956834154962,-1.3297942057996095,-1.3297942057996102
531,0.0643179063240705,-1.1916681011797263,-1.1916681011797268
532,0.0872178937551065,-1.0593944054128752,-1.0593944054128757
533,0.0683947768975282,-1.164977062771021,-1.164977062771021
534,0.0187300155927334,-1.7274618610745611,-1.7274618610745622
535,0.0758968621425717,-1.1197761790760132,-1.1197761790760135
536,0.0617241280091048,-1.2095450367303195,-1.20954503673032
537,0.0697102969144133,-1.1567030674856034,-1.1567030674856034
538,0.0233940047142694,-1.6308954269110163,-1.6308954269110165
539,0.0420598718241714,-1.3761320551432754,-1.3761320551432759
540,0.2204279613894246,-0.6567333158688095,-0.6567333158688096
541,0.0704668059982072,-1.15201541303218,-1.1520154130321805
542,0.0273884593178022,-1.562432397413662,-1.5624323974136627
543,0.069857726602736,-1.155785551821076,-1.1557855518210762
544,0.0764404624184487,-1.1166766943907929,-1.1166766943907929
545,0.0096296655608307,-2.016388795700794,-2.016388795700794
546,0.0349436271257543,-1.4566320175287328,-1.456632017528733
547,0.092641917439804,-1.033192464789906,-1.0331924647899062
548,0.0785739905432355,-1.1047211897480993,-1.1047211897481
549,0.2082763284717514,-0.6813600867410767,-0.6813600867410768
550,0.0241537396960848,-1.6170156183850946,-1.617015618385095
551,0.0242030218736919,-1.6161304066998556,-1.6161304066998559
552,0.0731479598439939,-1.1357977821955614,-1.1357977821955614
553,0.0221592034349825,-1.6544458554061254,-1.6544458554061254
554,0.0817213947223773,-1.0876642299609878,-1.0876642299609878
555,0.0197831113662632,-1.703705404198108,-1.70370540419811
556,0.0222039629085415,-1.6535695068233869,-1.6535695068233875
557,0.0365802963437539,-1.4367527805453386,-1.4367527805453386
558,0.0155777891457835,-1.8074941788789884,-1.8074941788789904
559,0.0817115419253815,-1.0877165941350584,-1.0877165941350588
560,0.0234615991066419,-1.629642390365308,-1.6296423903653081
561,0.0232909845173455,-1.6328121533110214,-1.6328121533110216
562,0.0272491544087055,-1.5646469701334331,-1.5646469701334336
563,0.0455010383906718,-1.341978692085899,-1.3419786920858994
564,0.0824990763852467,-1.083550913547482,-1.0835509135474823
565,0.0622716879497727,-1.2057093620393742,-1.2057093620393744
566,0.027913708216844,-1.5541824655129064,-1.554182465512907
567,0.0883465926772042,-1.0538101955632586,-1.0538101955632588
568,0.0164568068809048,-1.7836544272361738,-1.783654427236176
569,0.0743047746694083,-1.1289832784877083,-1.1289832784877085
570,0.0972230831334646,-1.0122306107185894,-1.0122306107185897
571,0.0682097889827126,-1.166153294022367,-1.166153294022367
572,0.0501563031398167,-1.2996744814505772,-1.2996744814505778
573,0.0136294246250275,-1.865522477800686,-1.8655224778006878
574,0.0714977925530558,-1.145707366546138,-1.1457073665461381
575,0.0894667175439345,-1.0483384962512805,-1.0483384962512803
576,0.0502439133702038,-1.2989165418644817,-1.2989165418644824
577,0.0290891024925973,-1.5362696781522367,-1.536269678152237
578,0.0508493338149173,-1.2937147324639608,-1.2937147324639613
579,0.0295507842564687,-1.529430988767933,-1.529430988767934
580,0.0833161109387388,-1.0792710104149392,-1.0792710104149392
581,0.0828047896341338,-1.081944541820022,-1.0819445418200222
582,0.0709577231808973,-1.149000328151476,-1.1490003281514765
583,0.0923911130884213,-1.0343698006659785,-1.0343698006659787
584,0.0731478851020262,-1.1357982259542223,-1.1357982259542225
585,0.0296498046396068,-1.5279781638248533,-1.527978163824854
586,0.0783333812828817,-1.1060531266068463,-1.1060531266068467
587,0.07005870638999,-1.1545378860431026,-1.1545378860431028
588,2.175993034203949,0.3376575007634452,0.3376575007634451
589,0.0434861360331856,-1.361649179918417,-1.3616491799184172
590,0.095912546854086,-1.018124576634651,-1.0181245766346512
591,0.0803237638595246,-1.0951559492886531,-1.0951559492886536
592,0.0581137736640632,-1.2357209223883296,-1.2357209223883303
593,0.0380551180410851,-1.4195869266062455,-1.4195869266062462
594,0.0684400109059425,-1.164689929925936,-1.1646899299259363
595,0.0913145078608725,-1.0394602171713436,-1.039460217171344
596,0.0258443500580101,-1.5876343851356405,-1.5876343851356403
597,0.0786643518200758,-1.104222031493952,-1.1042220314939521
598,0.0320849740280053,-1.4936983079233137,-1.4936983079233144
599,0.0750006556250079,-1.1249349401672517,-1.1249349401672517
600,0.0824436662239543,-1.0838427036294855,-1.0838427036294858
601,0.0231156832584236,-1.636093265064853,-1.6360932650648545
602,0.0359933448745641,-1.4437777923283155,-1.4437777923283164
603,0.1116039214978165,-0.9523205450495064,-0.9523205450495067
604,0.0742138554262857,-1.1295150061301469,-1.129515006130147
605,0.0162245390269643,-1.789827633565477,-1.7898276335654795
